hidden_layers,activation_function,epochs,learning_rate,batch_size,accuracy
[4],ReLU,50,1.0,128,0.8048780487804879
[4],ReLU,50,1.0,256,0.775609756097561
[4],ReLU,50,1.0,512,0.8341463414634146
[4],ReLU,50,0.1,16,0.8292682926829268
[4],ReLU,50,0.1,32,0.8585365853658536
[4],ReLU,50,0.1,64,0.8731707317073171
[4],ReLU,50,0.1,128,0.8536585365853658
[4],ReLU,50,0.1,256,0.8536585365853658
[4],ReLU,50,0.1,512,0.8585365853658536
[4],ReLU,50,0.01,16,0.8585365853658536
[4],ReLU,50,0.01,32,0.8585365853658536
[4],ReLU,50,0.01,64,0.848780487804878
[4],ReLU,50,0.01,128,0.8634146341463415
[4],ReLU,50,0.01,256,0.8341463414634146
[4],ReLU,50,0.01,512,0.8195121951219512
[4],ReLU,50,0.001,16,0.8195121951219512
[4],ReLU,50,0.001,32,0.7902439024390244
[4],ReLU,50,0.001,64,0.824390243902439
[4],ReLU,50,0.001,128,0.7902439024390244
[4],ReLU,50,0.001,256,0.7951219512195122
[4],ReLU,50,0.001,512,0.7609756097560976
[4],ReLU,50,0.0001,16,0.7804878048780488
[4],ReLU,50,0.0001,32,0.624390243902439
[4],ReLU,50,0.0001,64,0.7268292682926829
[4],ReLU,50,0.0001,128,0.6390243902439025
[4],ReLU,50,0.0001,256,0.5609756097560976
[4],ReLU,50,0.0001,512,0.5170731707317073
[4],ReLU,100,10.0,16,0.5121951219512195
[4],ReLU,100,10.0,32,0.5121951219512195
[4],ReLU,100,10.0,64,0.624390243902439
[4],ReLU,100,10.0,128,0.6097560975609756
[4],ReLU,100,10.0,256,0.5365853658536586
[4],ReLU,100,10.0,512,0.7170731707317073
[4],ReLU,100,1.0,16,0.5073170731707317
[4],ReLU,100,1.0,32,0.5024390243902439
[4],ReLU,100,1.0,64,0.5219512195121951
[4],ReLU,100,1.0,128,0.8195121951219512
[4],ReLU,100,1.0,256,0.8
[4],ReLU,100,1.0,512,0.8
[4],ReLU,100,0.1,16,0.8682926829268293
[4],ReLU,100,0.1,32,0.8878048780487805
[4],ReLU,100,0.1,64,0.8829268292682927
[4],ReLU,100,0.1,128,0.8682926829268293
[4],ReLU,100,0.1,256,0.8878048780487805
[4],ReLU,100,0.1,512,0.848780487804878
[4],ReLU,100,0.01,16,0.8975609756097561
[4],ReLU,100,0.01,32,0.8634146341463415
[4],ReLU,100,0.01,64,0.8634146341463415
[4],ReLU,100,0.01,128,0.8585365853658536
[4],ReLU,100,0.01,256,0.8195121951219512
[4],ReLU,100,0.01,512,0.8341463414634146
[4],ReLU,100,0.001,16,0.8439024390243902
[4],ReLU,100,0.001,32,0.8146341463414634
[4],ReLU,100,0.001,64,0.8097560975609757
[4],ReLU,100,0.001,128,0.8
[4],ReLU,100,0.001,256,0.8097560975609757
[4],ReLU,100,0.001,512,0.7414634146341463
[4],ReLU,100,0.0001,16,0.8097560975609757
[4],ReLU,100,0.0001,32,0.697560975609756
[4],ReLU,100,0.0001,64,0.7902439024390244
[4],ReLU,100,0.0001,128,0.6634146341463415
[4],ReLU,100,0.0001,256,0.6585365853658537
[4],ReLU,100,0.0001,512,0.48292682926829267
[4],ReLU,250,10.0,16,0.5121951219512195
[4],ReLU,250,10.0,32,0.4975609756097561
[4],ReLU,250,10.0,64,0.6
[4],ReLU,250,10.0,128,0.526829268292683
[4],ReLU,250,10.0,256,0.5024390243902439
[4],ReLU,250,10.0,512,0.4975609756097561
[4],ReLU,250,1.0,16,0.4975609756097561
[4],ReLU,250,1.0,32,0.5658536585365853
[4],ReLU,250,1.0,64,0.5073170731707317
[4],ReLU,250,1.0,128,0.8292682926829268
[4],ReLU,250,1.0,256,0.8097560975609757
[4],ReLU,250,1.0,512,0.7804878048780488
[4],ReLU,250,0.1,16,0.8292682926829268
[4],ReLU,250,0.1,32,0.8292682926829268
[4],ReLU,250,0.1,64,0.8926829268292683
[4],ReLU,250,0.1,128,0.8731707317073171
[4],ReLU,250,0.1,256,0.8585365853658536
[4],ReLU,250,0.1,512,0.8926829268292683
[4],ReLU,250,0.01,16,0.9170731707317074
[4],ReLU,250,0.01,32,0.8878048780487805
[4],ReLU,250,0.01,64,0.8536585365853658
[4],ReLU,250,0.01,128,0.8682926829268293
[4],ReLU,250,0.01,256,0.8829268292682927
[4],ReLU,250,0.01,512,0.8682926829268293
[4],ReLU,250,0.001,16,0.8926829268292683
[4],ReLU,250,0.001,32,0.8878048780487805
[4],ReLU,250,0.001,64,0.8390243902439024
[4],ReLU,250,0.001,128,0.8536585365853658
[4],ReLU,250,0.001,256,0.8195121951219512
[4],ReLU,250,0.001,512,0.7902439024390244
[4],ReLU,250,0.0001,16,0.8
[4],ReLU,250,0.0001,32,0.8097560975609757
[4],ReLU,250,0.0001,64,0.8
[4],ReLU,250,0.0001,128,0.8
[4],ReLU,250,0.0001,256,0.6487804878048781
[4],ReLU,250,0.0001,512,0.5219512195121951
[4],Softmax,1,10.0,16,0.5024390243902439
[4],Softmax,1,10.0,32,0.6195121951219512
[4],Softmax,1,10.0,64,0.4975609756097561
[4],Softmax,1,10.0,128,0.751219512195122
[4],Softmax,1,10.0,256,0.6292682926829268
[4],Softmax,1,10.0,512,0.6585365853658537
[4],Softmax,1,1.0,16,0.7170731707317073
[4],Softmax,1,1.0,32,0.7707317073170732
[4],Softmax,1,1.0,64,0.7951219512195122
[4],Softmax,1,1.0,128,0.8097560975609757
[4],Softmax,1,1.0,256,0.8048780487804879
[4],Softmax,1,1.0,512,0.4926829268292683
[4],Softmax,1,0.1,16,0.8146341463414634
[4],Softmax,1,0.1,32,0.8097560975609757
[4],Softmax,1,0.1,64,0.8195121951219512
[4],Softmax,1,0.1,128,0.7902439024390244
[4],Softmax,1,0.1,256,0.7560975609756098
[4],Softmax,1,0.1,512,0.7658536585365854
[4],Softmax,1,0.01,16,0.7951219512195122
[4],Softmax,1,0.01,32,0.8195121951219512
[4],Softmax,1,0.01,64,0.7121951219512195
[4],Softmax,1,0.01,128,0.5463414634146342
[4],Softmax,1,0.01,256,0.5024390243902439
[4],Softmax,1,0.01,512,0.5560975609756098
[4],Softmax,1,0.001,16,0.4975609756097561
[4],Softmax,1,0.001,32,0.5951219512195122
[4],Softmax,1,0.001,64,0.4975609756097561
[4],Softmax,1,0.001,128,0.5024390243902439
[4],Softmax,1,0.001,256,0.5024390243902439
[4],Softmax,1,0.001,512,0.5024390243902439
[4],Softmax,1,0.0001,16,0.4975609756097561
[4],Softmax,1,0.0001,32,0.4878048780487805
[4],Softmax,1,0.0001,64,0.5024390243902439
[4],Softmax,1,0.0001,128,0.5024390243902439
[4],Softmax,1,0.0001,256,0.4926829268292683
[4],Softmax,1,0.0001,512,0.4975609756097561
[4],Softmax,10,10.0,16,0.6829268292682927
[4],Softmax,10,10.0,32,0.7073170731707317
[4],Softmax,10,10.0,64,0.7804878048780488
[4],Softmax,10,10.0,128,0.7219512195121951
[4],Softmax,10,10.0,256,0.4878048780487805
[4],Softmax,10,10.0,512,0.7219512195121951
[4],Softmax,10,1.0,16,0.8146341463414634
[4],Softmax,10,1.0,32,0.7951219512195122
[4],Softmax,10,1.0,64,0.7951219512195122
[4],Softmax,10,1.0,128,0.8
[4],Softmax,10,1.0,256,0.8048780487804879
[4],Softmax,10,1.0,512,0.8146341463414634
[4],Softmax,10,0.1,16,0.8341463414634146
[4],Softmax,10,0.1,32,0.8341463414634146
[4],Softmax,10,0.1,64,0.8731707317073171
[4],Softmax,10,0.1,128,0.8390243902439024
[4],Softmax,10,0.1,256,0.8292682926829268
[4],Softmax,10,0.1,512,0.8341463414634146
[4],Softmax,10,0.01,16,0.824390243902439
[4],Softmax,10,0.01,32,0.8341463414634146
[4],Softmax,10,0.01,64,0.8097560975609757
[4],Softmax,10,0.01,128,0.8
[4],Softmax,10,0.01,256,0.8195121951219512
[4],Softmax,10,0.01,512,0.7609756097560976
[4],Softmax,10,0.001,16,0.7853658536585366
[4],Softmax,10,0.001,32,0.7609756097560976
[4],Softmax,10,0.001,64,0.7658536585365854
[4],Softmax,10,0.001,128,0.4975609756097561
[4],Softmax,10,0.001,256,0.4975609756097561
[4],Softmax,10,0.001,512,0.5609756097560976
[4],Softmax,10,0.0001,16,0.5024390243902439
[4],Softmax,10,0.0001,32,0.5073170731707317
[4],Softmax,10,0.0001,64,0.4975609756097561
[4],Softmax,10,0.0001,128,0.4585365853658537
[4],Softmax,10,0.0001,256,0.5024390243902439
[4],Softmax,10,0.0001,512,0.4975609756097561
[4],Softmax,25,10.0,16,0.7073170731707317
[4],Softmax,25,10.0,32,0.7560975609756098
[4],Softmax,25,10.0,64,0.7121951219512195
[4],Softmax,25,10.0,128,0.775609756097561
[4],Softmax,25,10.0,256,0.5463414634146342
[4],Softmax,25,10.0,512,0.751219512195122
[4],Softmax,25,1.0,16,0.7853658536585366
[4],Softmax,25,1.0,32,0.8097560975609757
[4],Softmax,25,1.0,64,0.7853658536585366
[4],Softmax,25,1.0,128,0.8682926829268293
[4],Softmax,25,1.0,256,0.824390243902439
[4],Softmax,25,1.0,512,0.8634146341463415
[4],Softmax,25,0.1,16,0.9024390243902439
[4],Softmax,25,0.1,32,0.8585365853658536
[4],Softmax,25,0.1,64,0.8439024390243902
[4],Softmax,25,0.1,128,0.8439024390243902
[4],Softmax,25,0.1,256,0.8292682926829268
[4],Softmax,25,0.1,512,0.824390243902439
[4],Softmax,25,0.01,16,0.8390243902439024
[4],Softmax,25,0.01,32,0.8146341463414634
[4],Softmax,25,0.01,64,0.8439024390243902
[4],Softmax,25,0.01,128,0.8146341463414634
[4],Softmax,25,0.01,256,0.8195121951219512
[4],Softmax,25,0.01,512,0.8195121951219512
[4],Softmax,25,0.001,16,0.8097560975609757
[4],Softmax,25,0.001,32,0.8048780487804879
[4],Softmax,25,0.001,64,0.7707317073170732
[4],Softmax,25,0.001,128,0.7804878048780488
[4],Softmax,25,0.001,256,0.6682926829268293
[4],Softmax,25,0.001,512,0.4926829268292683
[4],Softmax,25,0.0001,16,0.7365853658536585
[4],Softmax,25,0.0001,32,0.5853658536585366
[4],Softmax,25,0.0001,64,0.5804878048780487
[4],Softmax,25,0.0001,128,0.5024390243902439
[4],Softmax,25,0.0001,256,0.5024390243902439
[4],Softmax,25,0.0001,512,0.5024390243902439
[4],Softmax,50,10.0,16,0.5024390243902439
[4],Softmax,50,10.0,32,0.4975609756097561
[4],Softmax,50,10.0,64,0.751219512195122
[4],Softmax,50,10.0,128,0.7804878048780488
[4],Softmax,50,10.0,256,0.775609756097561
[4],Softmax,50,10.0,512,0.7804878048780488
[4],Softmax,50,1.0,16,0.8
[4],Softmax,50,1.0,32,0.8341463414634146
[4],Softmax,50,1.0,64,0.8195121951219512
[4],Softmax,50,1.0,128,0.8536585365853658
[4],Softmax,50,1.0,256,0.8390243902439024
[4],Softmax,50,1.0,512,0.8780487804878049
[4],Softmax,50,0.1,16,0.8634146341463415
[4],Softmax,50,0.1,32,0.8634146341463415
[4],Softmax,50,0.1,64,0.8780487804878049
[4],Softmax,50,0.1,128,0.8634146341463415
[4],Softmax,50,0.1,256,0.8829268292682927
[4],Softmax,50,0.1,512,0.8341463414634146
[4],Softmax,50,0.01,16,0.8975609756097561
[4],Softmax,50,0.01,32,0.8390243902439024
[4],Softmax,50,0.01,64,0.8682926829268293
[4],Softmax,50,0.01,128,0.8048780487804879
[4],Softmax,50,0.01,256,0.8341463414634146
[4],Softmax,50,0.01,512,0.8146341463414634
[4],Softmax,50,0.001,16,0.7902439024390244
[4],Softmax,50,0.001,32,0.8097560975609757
[4],Softmax,50,0.001,64,0.8097560975609757
[4],Softmax,50,0.001,128,0.7804878048780488
[4],Softmax,50,0.001,256,0.7804878048780488
[4],Softmax,50,0.001,512,0.7804878048780488
[4],Softmax,50,0.0001,16,0.8146341463414634
[4],Softmax,50,0.0001,32,0.7121951219512195
[4],Softmax,50,0.0001,64,0.4682926829268293
[4],Softmax,50,0.0001,128,0.7219512195121951
[4],Softmax,50,0.0001,256,0.5658536585365853
[4],Softmax,50,0.0001,512,0.4975609756097561
[4],Softmax,100,10.0,16,0.7170731707317073
[4],Softmax,100,10.0,32,0.751219512195122
[4],Softmax,100,10.0,64,0.775609756097561
[4],Softmax,100,10.0,128,0.697560975609756
[4],Softmax,100,10.0,256,0.7853658536585366
[4],Softmax,100,10.0,512,0.7902439024390244
[4],Softmax,100,1.0,16,0.7609756097560976
[4],Softmax,100,1.0,32,0.8146341463414634
[4],Softmax,100,1.0,64,0.8439024390243902
[4],Softmax,100,1.0,128,0.8585365853658536
[4],Softmax,100,1.0,256,0.824390243902439
[4],Softmax,100,1.0,512,0.848780487804878
[4],Softmax,100,0.1,16,0.8829268292682927
[4],Softmax,100,0.1,32,0.9121951219512195
[4],Softmax,100,0.1,64,0.8780487804878049
[4],Softmax,100,0.1,128,0.926829268292683
[4],Softmax,100,0.1,256,0.8975609756097561
[4],Softmax,100,0.1,512,0.8536585365853658
[4],Softmax,100,0.01,16,0.8780487804878049
[4],Softmax,100,0.01,32,0.9024390243902439
[4],Softmax,100,0.01,64,0.8878048780487805
[4],Softmax,100,0.01,128,0.8536585365853658
[4],Softmax,100,0.01,256,0.8146341463414634
[4],Softmax,100,0.01,512,0.8292682926829268
[4],Softmax,100,0.001,16,0.8390243902439024
[4],Softmax,100,0.001,32,0.824390243902439
[4],Softmax,100,0.001,64,0.8341463414634146
[4],Softmax,100,0.001,128,0.8
[4],Softmax,100,0.001,256,0.8048780487804879
[4],Softmax,100,0.001,512,0.7560975609756098
[4],Softmax,100,0.0001,16,0.7804878048780488
[4],Softmax,100,0.0001,32,0.7902439024390244
[4],Softmax,100,0.0001,64,0.5804878048780487
[4],Softmax,100,0.0001,128,0.4975609756097561
[4],Softmax,100,0.0001,256,0.5804878048780487
[4],Softmax,100,0.0001,512,0.6195121951219512
[4],Softmax,250,10.0,16,0.7560975609756098
[4],Softmax,250,10.0,32,0.6731707317073171
[4],Softmax,250,10.0,64,0.5804878048780487
[4],Softmax,250,10.0,128,0.7121951219512195
[4],Softmax,250,10.0,256,0.5658536585365853
[4],Softmax,250,10.0,512,0.7804878048780488
[4],Softmax,250,1.0,16,0.8097560975609757
[4],Softmax,250,1.0,32,0.8536585365853658
[4],Softmax,250,1.0,64,0.7902439024390244
[4],Softmax,250,1.0,128,0.7902439024390244
[4],Softmax,250,1.0,256,0.8439024390243902
[4],Softmax,250,1.0,512,0.848780487804878
[4],Softmax,250,0.1,16,0.8390243902439024
[4],Softmax,250,0.1,32,0.9073170731707317
[4],Softmax,250,0.1,64,0.926829268292683
[4],Softmax,250,0.1,128,0.8634146341463415
[4],Softmax,250,0.1,256,0.848780487804878
[4],Softmax,250,0.1,512,0.9219512195121952
[4],Softmax,250,0.01,16,0.8926829268292683
[4],Softmax,250,0.01,32,0.8829268292682927
[4],Softmax,250,0.01,64,0.9073170731707317
[4],Softmax,250,0.01,128,0.8926829268292683
[4],Softmax,250,0.01,256,0.8731707317073171
[4],Softmax,250,0.01,512,0.8341463414634146
[4],Softmax,250,0.001,16,0.8634146341463415
[4],Softmax,250,0.001,32,0.8682926829268293
[4],Softmax,250,0.001,64,0.8341463414634146
[4],Softmax,250,0.001,128,0.8341463414634146
[4],Softmax,250,0.001,256,0.8097560975609757
[4],Softmax,250,0.001,512,0.8097560975609757
[4],Softmax,250,0.0001,16,0.8
[4],Softmax,250,0.0001,32,0.8097560975609757
[4],Softmax,250,0.0001,64,0.775609756097561
[4],Softmax,250,0.0001,128,0.7317073170731707
[4],Softmax,250,0.0001,256,0.5024390243902439
[4],Softmax,250,0.0001,512,0.5024390243902439
[4],Tanh,1,10.0,16,0.7707317073170732
[4],Tanh,1,10.0,32,0.5804878048780487
[4],Tanh,1,10.0,64,0.6878048780487804
[4],Tanh,1,10.0,128,0.8
[4],Tanh,1,10.0,256,0.751219512195122
[4],Tanh,1,10.0,512,0.7902439024390244
[4],Tanh,1,1.0,16,0.7853658536585366
[4],Tanh,1,1.0,32,0.7707317073170732
[4],Tanh,1,1.0,64,0.7902439024390244
[4],Tanh,1,1.0,128,0.7609756097560976
[4],Tanh,1,1.0,256,0.7268292682926829
[4],Tanh,1,1.0,512,0.4975609756097561
[4],Tanh,1,0.1,16,0.7902439024390244
[4],Tanh,1,0.1,32,0.7902439024390244
[4],Tanh,1,0.1,64,0.7902439024390244
[4],Tanh,1,0.1,128,0.8097560975609757
[4],Tanh,1,0.1,256,0.7853658536585366
[4],Tanh,1,0.1,512,0.7658536585365854
[4],Tanh,1,0.01,16,0.8048780487804879
[4],Tanh,1,0.01,32,0.7902439024390244
[4],Tanh,1,0.01,64,0.7609756097560976
[4],Tanh,1,0.01,128,0.775609756097561
[4],Tanh,1,0.01,256,0.7024390243902439
[4],Tanh,1,0.01,512,0.6731707317073171
[4],Tanh,1,0.001,16,0.551219512195122
[4],Tanh,1,0.001,32,0.47317073170731705
[4],Tanh,1,0.001,64,0.6487804878048781
[4],Tanh,1,0.001,128,0.3951219512195122
[4],Tanh,1,0.001,256,0.5024390243902439
[4],Tanh,1,0.001,512,0.7219512195121951
[4],Tanh,1,0.0001,16,0.5414634146341464
[4],Tanh,1,0.0001,32,0.5024390243902439
[4],Tanh,1,0.0001,64,0.3170731707317073
[4],Tanh,1,0.0001,128,0.5024390243902439
[4],Tanh,1,0.0001,256,0.5073170731707317
[4],Tanh,1,0.0001,512,0.5170731707317073
[4],Tanh,10,10.0,16,0.751219512195122
[4],Tanh,10,10.0,32,0.5414634146341464
[4],Tanh,10,10.0,64,0.7707317073170732
[4],Tanh,10,10.0,128,0.5219512195121951
[4],Tanh,10,10.0,256,0.751219512195122
[4],Tanh,10,10.0,512,0.7170731707317073
[4],Tanh,10,1.0,16,0.7951219512195122
[4],Tanh,10,1.0,32,0.7463414634146341
[4],Tanh,10,1.0,64,0.8341463414634146
[4],Tanh,10,1.0,128,0.8195121951219512
[4],Tanh,10,1.0,256,0.824390243902439
[4],Tanh,10,1.0,512,0.824390243902439
[4],Tanh,10,0.1,16,0.8292682926829268
[4],Tanh,10,0.1,32,0.8390243902439024
[4],Tanh,10,0.1,64,0.8341463414634146
[4],Tanh,10,0.1,128,0.8536585365853658
[4],Tanh,10,0.1,256,0.8341463414634146
[4],Tanh,10,0.1,512,0.8341463414634146
[4],Tanh,10,0.01,16,0.8146341463414634
[4],Tanh,10,0.01,32,0.8341463414634146
[4],Tanh,10,0.01,64,0.8048780487804879
[4],Tanh,10,0.01,128,0.7902439024390244
[4],Tanh,10,0.01,256,0.8097560975609757
[4],Tanh,10,0.01,512,0.7951219512195122
[4],Tanh,10,0.001,16,0.8048780487804879
[4],Tanh,10,0.001,32,0.8048780487804879
[4],Tanh,10,0.001,64,0.7804878048780488
[4],Tanh,10,0.001,128,0.7560975609756098
[4],Tanh,10,0.001,256,0.7170731707317073
[4],Tanh,10,0.001,512,0.6097560975609756
[4],Tanh,10,0.0001,16,0.6536585365853659
[4],Tanh,10,0.0001,32,0.6341463414634146
[4],Tanh,10,0.0001,64,0.5853658536585366
[4],Tanh,10,0.0001,128,0.5804878048780487
[4],Tanh,10,0.0001,256,0.36097560975609755
[4],Tanh,10,0.0001,512,0.7073170731707317
[4],Tanh,25,10.0,16,0.7317073170731707
[4],Tanh,25,10.0,32,0.7804878048780488
[4],Tanh,25,10.0,64,0.7707317073170732
[4],Tanh,25,10.0,128,0.751219512195122
[4],Tanh,25,10.0,256,0.7219512195121951
[4],Tanh,25,10.0,512,0.7609756097560976
[4],Tanh,25,1.0,16,0.7073170731707317
[4],Tanh,25,1.0,32,0.8195121951219512
[4],Tanh,25,1.0,64,0.8390243902439024
[4],Tanh,25,1.0,128,0.824390243902439
[4],Tanh,25,1.0,256,0.8048780487804879
[4],Tanh,25,1.0,512,0.8292682926829268
[4],Tanh,25,0.1,16,0.8634146341463415
[4],Tanh,25,0.1,32,0.8439024390243902
[4],Tanh,25,0.1,64,0.8926829268292683
[4],Tanh,25,0.1,128,0.8780487804878049
[4],Tanh,25,0.1,256,0.8536585365853658
[4],Tanh,25,0.1,512,0.8195121951219512
[4],Tanh,25,0.01,16,0.8634146341463415
[4],Tanh,25,0.01,32,0.8634146341463415
[4],Tanh,25,0.01,64,0.8292682926829268
[4],Tanh,25,0.01,128,0.8292682926829268
[4],Tanh,25,0.01,256,0.7951219512195122
[4],Tanh,25,0.01,512,0.7902439024390244
[4],Tanh,25,0.001,16,0.7902439024390244
[4],Tanh,25,0.001,32,0.7853658536585366
[4],Tanh,25,0.001,64,0.7902439024390244
[4],Tanh,25,0.001,128,0.7853658536585366
[4],Tanh,25,0.001,256,0.7658536585365854
[4],Tanh,25,0.001,512,0.6926829268292682
[4],Tanh,25,0.0001,16,0.7414634146341463
[4],Tanh,25,0.0001,32,0.6097560975609756
[4],Tanh,25,0.0001,64,0.4975609756097561
[4],Tanh,25,0.0001,128,0.5707317073170731
[4],Tanh,25,0.0001,256,0.5219512195121951
[4],Tanh,25,0.0001,512,0.5707317073170731
[4],Tanh,50,10.0,16,0.7658536585365854
[4],Tanh,50,10.0,32,0.6731707317073171
[4],Tanh,50,10.0,64,0.5707317073170731
[4],Tanh,50,10.0,128,0.7853658536585366
[4],Tanh,50,10.0,256,0.7609756097560976
[4],Tanh,50,10.0,512,0.7463414634146341
[4],Tanh,50,1.0,16,0.7658536585365854
[4],Tanh,50,1.0,32,0.8097560975609757
[4],Tanh,50,1.0,64,0.8292682926829268
[4],Tanh,50,1.0,128,0.8292682926829268
[4],Tanh,50,1.0,256,0.8780487804878049
[4],Tanh,50,1.0,512,0.8146341463414634
[4],Tanh,50,0.1,16,0.8878048780487805
[4],Tanh,50,0.1,32,0.8829268292682927
[4],Tanh,50,0.1,64,0.8829268292682927
[4],Tanh,50,0.1,128,0.848780487804878
[4],Tanh,50,0.1,256,0.8439024390243902
[4],Tanh,50,0.1,512,0.8585365853658536
[4],Tanh,50,0.01,16,0.8878048780487805
[4],Tanh,50,0.01,32,0.9317073170731708
[4],Tanh,50,0.01,64,0.8829268292682927
[4],Tanh,50,0.01,128,0.8682926829268293
[4],Tanh,50,0.01,256,0.8292682926829268
[4],Tanh,50,0.01,512,0.8292682926829268
[4],Tanh,50,0.001,16,0.8097560975609757
[4],Tanh,50,0.001,32,0.8
[4],Tanh,50,0.001,64,0.7951219512195122
[4],Tanh,50,0.001,128,0.8048780487804879
[4],Tanh,50,0.001,256,0.7853658536585366
[4],Tanh,50,0.001,512,0.5024390243902439
[4],Tanh,50,0.0001,16,0.8048780487804879
[4],Tanh,50,0.0001,32,0.775609756097561
[4],Tanh,50,0.0001,64,0.7609756097560976
[4],Tanh,50,0.0001,128,0.36585365853658536
[4],Tanh,50,0.0001,256,0.5024390243902439
[4],Tanh,50,0.0001,512,0.5024390243902439
[4],Tanh,100,10.0,16,0.4926829268292683
[4],Tanh,100,10.0,32,0.7317073170731707
[4],Tanh,100,10.0,64,0.6682926829268293
[4],Tanh,100,10.0,128,0.7073170731707317
[4],Tanh,100,10.0,256,0.7609756097560976
[4],Tanh,100,10.0,512,0.7317073170731707
[4],Tanh,100,1.0,16,0.7317073170731707
[4],Tanh,100,1.0,32,0.8097560975609757
[4],Tanh,100,1.0,64,0.7951219512195122
[4],Tanh,100,1.0,128,0.8682926829268293
[4],Tanh,100,1.0,256,0.8780487804878049
[4],Tanh,100,1.0,512,0.8585365853658536
[4],Tanh,100,0.1,16,0.8878048780487805
[4],Tanh,100,0.1,32,0.9121951219512195
[4],Tanh,100,0.1,64,0.9024390243902439
[4],Tanh,100,0.1,128,0.8780487804878049
[4],Tanh,100,0.1,256,0.8878048780487805
[4],Tanh,100,0.1,512,0.8731707317073171
[4],Tanh,100,0.01,16,0.9073170731707317
[4],Tanh,100,0.01,32,0.9170731707317074
[4],Tanh,100,0.01,64,0.9121951219512195
[4],Tanh,100,0.01,128,0.8975609756097561
[4],Tanh,100,0.01,256,0.8682926829268293
[4],Tanh,100,0.01,512,0.8439024390243902
[4],Tanh,100,0.001,16,0.8439024390243902
[4],Tanh,100,0.001,32,0.8341463414634146
[4],Tanh,100,0.001,64,0.8097560975609757
[4],Tanh,100,0.001,128,0.7951219512195122
[4],Tanh,100,0.001,256,0.8048780487804879
[4],Tanh,100,0.001,512,0.8048780487804879
[4],Tanh,100,0.0001,16,0.8195121951219512
[4],Tanh,100,0.0001,32,0.7707317073170732
[4],Tanh,100,0.0001,64,0.8146341463414634
[4],Tanh,100,0.0001,128,0.551219512195122
[4],Tanh,100,0.0001,256,0.624390243902439
[4],Tanh,100,0.0001,512,0.5756097560975609
[4],Tanh,250,10.0,16,0.5658536585365853
[4],Tanh,250,10.0,32,0.7073170731707317
[4],Tanh,250,10.0,64,0.751219512195122
[4],Tanh,250,10.0,128,0.7414634146341463
[4],Tanh,250,10.0,256,0.751219512195122
[4],Tanh,250,10.0,512,0.8292682926829268
[4],Tanh,250,1.0,16,0.7560975609756098
[4],Tanh,250,1.0,32,0.7951219512195122
[4],Tanh,250,1.0,64,0.824390243902439
[4],Tanh,250,1.0,128,0.8731707317073171
[4],Tanh,250,1.0,256,0.8536585365853658
[4],Tanh,250,1.0,512,0.8536585365853658
[4],Tanh,250,0.1,16,0.8829268292682927
[4],Tanh,250,0.1,32,0.8731707317073171
[4],Tanh,250,0.1,64,0.8682926829268293
[4],Tanh,250,0.1,128,0.9073170731707317
[4],Tanh,250,0.1,256,0.8780487804878049
[4],Tanh,250,0.1,512,0.8975609756097561
[4],Tanh,250,0.01,16,0.9414634146341463
[4],Tanh,250,0.01,32,0.8780487804878049
